Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2015-08-02,1,1,0,1,1,1,0,0,0,0,0%,0,0,0,0%,1,1,0,0,0,0,0,0,1,2.87s,100%,1,0s,0s,0,0%,,,,,,,,,
2015-08-03,3,3,0,4,2,2,20,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.04s,67%,1.3,7s,0s,0,0%,,,,,,,,,
2015-08-04,6,6,0,11,5,4,125,1,1,1,16.67%,1,1,1,16.67%,10,8,0,0,1,1,0,0,8,0.02s,67%,1.8,21s,0s,0,0%,,,,,,,,,
2015-08-05,3,3,0,5,3,2,46,0,0,0,0%,0,0,0,0%,5,4,0,0,0,0,0,0,2,0.04s,67%,1.7,15s,46s,3,0%,1,3,1,0,3,0,0,0,0%
2015-08-06,10,10,0,32,8,3,728,4,4,4,40%,3,3,3,37.50%,30,17,0,0,2,2,0,0,28,0.03s,30%,3.2,1 min 13s,4 min 23s,4.5,50%,2,9,2,0,8,1,1,1,50%
2015-08-07,7,7,0,8,2,6,25,1,1,1,14.29%,1,1,1,16.67%,8,8,0,0,0,0,0,0,6,0.27s,86%,1.1,4s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-08,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,1,1.15s,100%,1,0s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-09,5,6,0,20,8,3,1830,0,0,0,0%,0,0,0,0%,15,8,0,0,5,5,0,0,6,0.11s,50%,3.3,5 min 5s,53s,2,67%,3,6,3,0,4,0,0,0,0%
2015-08-10,4,4,0,17,6,1,786,1,1,1,25%,1,1,1,33.33%,13,7,0,0,4,3,0,0,12,0.08s,25%,4.3,3 min 17s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-11,11,14,0,19,2,9,98,2,2,2,14.29%,2,2,2,18.18%,18,17,0,0,1,1,0,0,13,0.15s,64%,1.4,7s,0s,1,100%,3,3,1,0,1,0,0,0,0%
2015-08-12,5,5,0,11,7,4,385,1,1,1,20%,1,1,1,25%,10,7,0,0,1,1,0,0,9,0.02s,80%,2.2,1 min 17s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-13,5,6,0,13,4,2,1817,2,2,2,33.33%,0,0,0,0%,11,10,0,0,2,2,0,0,10,0.27s,33%,2.2,5 min 3s,58s,3.5,0%,2,7,1,0,4,2,2,2,100%
2015-08-14,5,6,0,11,4,3,1892,1,1,1,16.67%,1,1,1,20%,11,9,0,0,0,0,0,0,10,0.24s,50%,1.8,5 min 15s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-15,3,3,0,3,1,3,0,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,1,0.69s,100%,1,0s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-16,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,1,0.04s,100%,1,0s,0s,0,0%,,,,,,,,,
2015-08-17,3,4,0,7,3,2,136,0,0,0,0%,0,0,0,0%,6,6,0,0,1,1,0,0,6,0.02s,50%,1.8,34s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-18,4,4,0,9,6,3,91,2,2,2,50%,2,2,2,50%,7,4,0,0,2,2,0,0,5,0.34s,75%,2.3,23s,0s,0,0%,,,,,,,,,
2015-08-19,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.03s,100%,1,0s,0s,0,0%,,,,,,,,,
2015-08-20,5,5,0,9,5,4,105,0,0,0,0%,0,0,0,0%,9,7,0,0,0,0,0,0,9,0.25s,80%,1.8,21s,0s,0,0%,,,,,,,,,
2015-08-22,2,2,0,2,1,2,0,0,0,0,0%,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.49s,100%,1,0s,0s,0,0%,,,,,,,,,
2015-08-23,4,4,0,4,1,4,0,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,1,0.04s,100%,1,0s,0s,0,0%,,,,,,,,,
2015-08-24,2,2,0,6,5,1,32,1,1,1,50%,1,1,1,50%,6,4,0,0,0,0,0,0,5,0.38s,50%,3,16s,0s,0,0%,,,,,,,,,
2015-08-25,6,6,0,12,3,3,72,0,0,0,0%,0,0,0,0%,11,9,0,0,1,1,0,0,7,0.06s,50%,2,12s,0s,1,100%,2,2,2,0,1,0,0,0,0%
2015-08-26,8,8,0,12,3,5,231,0,0,0,0%,0,0,0,0%,12,11,0,0,0,0,0,0,8,0.19s,63%,1.5,29s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-27,2,2,0,7,6,1,62,0,0,0,0%,0,0,0,0%,6,4,0,0,1,1,0,0,5,0.05s,50%,3.5,31s,0s,1,100%,1,1,1,0,1,0,0,0,0%
2015-08-28,3,4,0,6,3,3,23,1,1,1,25%,1,1,1,50%,6,6,0,0,0,0,0,0,4,0.24s,75%,1.5,6s,0s,1,100%,2,2,1,0,1,0,0,0,0%
2015-08-29,7,9,0,12,2,6,1387,0,0,0,0%,0,0,0,0%,11,10,0,0,1,1,0,0,5,0.16s,67%,1.3,2 min 34s,2s,1.3,67%,3,4,1,0,2,0,0,0,0%
2015-08-30,5,7,0,18,9,4,293,1,1,1,14.29%,1,1,1,25%,13,10,0,0,5,2,0,0,7,0.09s,57%,2.6,42s,21s,2,33%,3,6,1,0,3,0,0,0,0%
2015-08-31,9,14,0,45,12,3,1983,2,2,2,14.29%,1,1,1,14.29%,44,22,0,0,1,1,0,0,29,0.04s,21%,3.2,2 min 22s,8s,1.7,29%,7,12,3,0,2,1,1,1,14.29%
2015-09-01,4,6,0,15,6,1,403,1,1,1,16.67%,1,1,1,33.33%,13,9,0,0,2,2,0,0,10,0.06s,17%,2.5,1 min 7s,1 min 17s,1.7,33%,3,5,2,0,2,0,0,0,0%
2015-09-02,7,7,0,18,9,4,338,3,3,3,42.86%,3,3,3,42.86%,17,11,0,0,1,1,0,0,12,0.06s,57%,2.6,48s,0s,0,0%,,,,,,,,,
