Date,Open,High,Low,Close,Volume
15-Jun-17,8.99,9.10,8.90,8.97,118074
14-Jun-17,9.45,9.51,8.94,9.07,1002570
13-Jun-17,9.35,9.52,9.25,9.47,63533
12-Jun-17,9.40,9.55,9.33,9.39,122258
9-Jun-17,9.46,9.74,9.38,9.50,81767
8-Jun-17,9.72,9.75,9.44,9.45,155709
7-Jun-17,9.83,9.83,9.65,9.75,33808
6-Jun-17,10.17,10.59,9.79,9.82,91259
5-Jun-17,10.45,10.58,10.21,10.22,87638
2-Jun-17,10.14,10.49,10.14,10.47,99668
1-Jun-17,9.96,10.12,9.80,10.09,68727
31-May-17,10.08,10.10,9.87,9.91,39425
30-May-17,9.83,10.15,9.70,10.08,53397
26-May-17,9.79,9.88,9.66,9.81,38042
25-May-17,9.73,9.95,9.67,9.76,73844
24-May-17,9.69,9.73,9.59,9.70,38630
23-May-17,9.84,9.84,9.62,9.69,60232
22-May-17,9.55,9.84,9.44,9.79,50469
19-May-17,9.49,9.55,9.38,9.46,90520
18-May-17,9.40,9.62,9.37,9.48,79947
17-May-17,9.60,9.68,9.23,9.39,279347
16-May-17,9.90,9.90,9.64,9.66,79579
15-May-17,9.86,10.01,9.86,9.95,49096
12-May-17,10.28,10.28,9.81,9.90,91202
11-May-17,10.10,10.35,10.10,10.32,62520
10-May-17,9.88,10.30,9.76,10.26,51777
9-May-17,9.92,10.00,9.82,9.95,46720
8-May-17,9.98,10.25,9.80,9.84,158142
5-May-17,10.50,10.80,9.89,9.90,230308
4-May-17,10.74,10.99,10.63,10.80,67371
3-May-17,10.76,10.76,10.57,10.70,168071
2-May-17,10.65,10.82,10.49,10.79,108071
1-May-17,10.86,10.89,10.47,10.64,68002
28-Apr-17,11.39,11.45,10.90,10.94,42200
27-Apr-17,11.43,11.61,11.32,11.37,49837
26-Apr-17,11.02,11.47,11.02,11.39,48165
25-Apr-17,11.01,11.12,10.91,11.03,50899
24-Apr-17,10.87,11.00,10.78,10.94,71294
21-Apr-17,10.83,10.94,10.72,10.75,72230
20-Apr-17,10.95,10.95,10.78,10.80,50718
19-Apr-17,10.82,10.83,10.73,10.80,70889
18-Apr-17,10.82,10.91,10.65,10.76,38339
17-Apr-17,10.53,10.89,10.45,10.82,44523
13-Apr-17,10.41,10.58,10.41,10.53,37939
12-Apr-17,10.56,10.64,10.35,10.45,62878
11-Apr-17,10.65,10.77,10.42,10.51,70041
10-Apr-17,10.09,10.68,10.08,10.58,173114
7-Apr-17,10.09,10.25,10.05,10.07,57091
6-Apr-17,10.16,10.28,10.04,10.10,70925
5-Apr-17,10.24,10.47,10.12,10.15,86666
4-Apr-17,10.19,10.55,10.00,10.22,142725
3-Apr-17,10.46,10.46,10.15,10.16,56476
31-Mar-17,10.39,10.48,10.33,10.39,51720
30-Mar-17,10.40,10.51,10.25,10.34,49625
29-Mar-17,10.35,10.47,10.31,10.40,115079
28-Mar-17,10.44,10.44,10.27,10.41,43389
27-Mar-17,10.34,10.48,10.20,10.45,65058
24-Mar-17,10.52,10.52,10.34,10.39,49905
23-Mar-17,10.55,10.67,10.42,10.49,222553
22-Mar-17,10.62,10.62,10.41,10.50,58394
21-Mar-17,10.85,10.85,10.56,10.58,57512
20-Mar-17,11.12,11.26,10.68,10.83,59927
17-Mar-17,10.89,11.06,10.77,11.03,106523
16-Mar-17,10.52,10.86,10.52,10.84,56928
15-Mar-17,10.36,10.49,10.25,10.47,56490
14-Mar-17,10.22,10.33,10.00,10.29,84078
13-Mar-17,10.35,10.45,10.19,10.20,127529
10-Mar-17,10.74,10.83,10.33,10.34,107983
9-Mar-17,10.89,10.89,10.67,10.72,104980
8-Mar-17,10.85,11.02,10.80,10.87,76621
7-Mar-17,11.46,11.51,10.85,10.86,105605
6-Mar-17,12.06,12.06,11.37,11.42,91522
3-Mar-17,12.06,12.10,11.80,12.05,128838
2-Mar-17,12.06,12.39,11.96,12.00,95839
1-Mar-17,12.15,12.31,12.06,12.11,109664
28-Feb-17,12.55,12.57,11.95,12.07,118351
27-Feb-17,12.47,12.61,12.45,12.55,81803
24-Feb-17,12.38,12.53,12.35,12.46,57927
23-Feb-17,12.49,12.50,12.32,12.39,101789
