Date,Open,High,Low,Close,Volume
15-Jun-17,23.60,24.08,22.37,22.42,4015448
14-Jun-17,24.77,24.95,24.54,24.74,874578
13-Jun-17,24.95,25.11,24.47,24.82,1416837
12-Jun-17,24.27,25.98,24.27,24.92,2314455
9-Jun-17,24.20,24.90,24.09,24.79,1536634
8-Jun-17,24.00,24.46,23.95,24.11,1580665
7-Jun-17,24.00,24.15,23.90,24.04,1174304
6-Jun-17,24.39,24.49,24.00,24.01,1279043
5-Jun-17,24.49,24.60,24.25,24.46,1556396
2-Jun-17,24.50,24.58,24.24,24.49,1446856
1-Jun-17,23.94,24.48,23.84,24.42,2007317
31-May-17,23.87,24.05,23.77,23.96,1318670
30-May-17,23.45,23.90,23.27,23.85,1522640
26-May-17,23.81,24.00,23.61,23.96,805919
25-May-17,23.54,23.89,23.36,23.77,1142496
24-May-17,23.45,23.61,23.32,23.52,988414
23-May-17,23.98,24.01,23.42,23.45,1491250
22-May-17,24.00,24.23,23.96,24.04,1735210
19-May-17,23.90,24.10,23.74,24.07,2457873
18-May-17,23.82,24.09,23.63,23.90,1354559
17-May-17,23.59,23.95,23.45,23.70,1460691
16-May-17,23.91,23.98,23.56,23.81,1990406
15-May-17,24.00,24.30,23.80,23.97,1708089
12-May-17,24.00,24.18,23.66,23.89,1747894
11-May-17,23.60,24.41,23.60,24.13,3348491
10-May-17,23.32,23.70,23.13,23.63,2311583
9-May-17,23.52,23.54,23.26,23.32,1479486
8-May-17,23.61,23.71,23.00,23.41,2587339
5-May-17,22.86,23.56,22.52,23.56,3613611
4-May-17,23.50,23.50,22.24,22.74,3585050
3-May-17,22.30,22.76,22.19,22.75,3822767
2-May-17,22.35,22.42,22.02,22.25,2091662
1-May-17,22.34,22.62,22.02,22.21,1696208
28-Apr-17,22.75,22.85,22.26,22.31,3129192
27-Apr-17,22.71,22.80,22.16,22.71,2240087
26-Apr-17,22.63,23.05,22.40,22.60,2858259
25-Apr-17,22.14,22.98,22.01,22.66,4173191
24-Apr-17,22.85,22.98,21.00,21.98,8387826
21-Apr-17,22.81,23.00,22.37,22.74,2968002
20-Apr-17,23.11,23.20,22.73,22.80,2458482
19-Apr-17,22.91,22.94,22.65,22.91,1945385
18-Apr-17,22.95,22.95,22.64,22.70,1716181
17-Apr-17,22.66,23.13,22.66,22.94,1569438
13-Apr-17,23.00,23.16,22.66,22.69,1692768
12-Apr-17,23.24,23.46,22.81,22.90,1683819
11-Apr-17,23.21,23.52,22.83,23.21,3930303
