Date,Open,High,Low,Close,Volume
15-Jun-17,25.86,25.97,24.95,25.04,28852
14-Jun-17,26.01,26.01,25.75,25.87,21545
13-Jun-17,26.24,26.33,25.51,26.00,26181
12-Jun-17,26.16,26.52,25.95,26.24,25817
9-Jun-17,26.15,26.46,25.76,26.16,47156
8-Jun-17,26.91,26.98,26.09,26.15,30051
7-Jun-17,25.08,27.42,25.08,27.05,40016
6-Jun-17,25.28,25.60,24.88,25.07,25009
5-Jun-17,25.25,25.54,25.20,25.26,15236
2-Jun-17,25.16,25.67,25.08,25.14,35601
1-Jun-17,24.97,25.42,24.89,25.13,32659
31-May-17,25.01,25.01,24.88,24.88,30319
30-May-17,24.90,25.14,24.90,24.96,23270
26-May-17,25.00,25.43,24.97,25.04,20920
25-May-17,25.07,25.19,24.96,25.00,12240
24-May-17,25.18,25.43,24.95,25.07,23237
23-May-17,25.41,25.47,25.01,25.08,9553
22-May-17,24.99,25.49,24.99,25.39,16234
19-May-17,24.93,25.10,24.93,25.01,28064
18-May-17,25.33,25.33,24.97,25.00,22969
17-May-17,25.05,25.57,24.90,25.26,37538
16-May-17,25.87,25.87,25.05,25.12,16441
15-May-17,25.46,26.18,25.44,25.91,27464
12-May-17,26.02,26.30,25.30,25.33,28856
11-May-17,26.18,26.50,26.06,26.09,17312
10-May-17,26.21,26.48,26.01,26.20,13322
9-May-17,26.60,26.73,25.98,26.14,17391
8-May-17,26.53,26.94,26.28,26.58,23405
5-May-17,26.37,26.55,26.00,26.40,14149
4-May-17,26.55,26.67,26.07,26.32,15892
3-May-17,26.02,26.59,26.02,26.57,22741
2-May-17,26.38,27.34,25.99,26.12,28177
1-May-17,26.32,26.63,26.20,26.30,15421
28-Apr-17,26.80,26.95,26.37,26.39,42287
27-Apr-17,26.74,26.95,26.63,26.79,32796
26-Apr-17,26.59,26.98,26.37,26.87,24985
25-Apr-17,26.92,27.12,26.57,26.64,26119
24-Apr-17,27.09,27.09,26.15,26.86,46069
21-Apr-17,27.06,27.36,26.58,26.84,18922
20-Apr-17,27.20,27.49,26.96,27.07,25774
19-Apr-17,26.95,27.33,26.87,27.09,24150
18-Apr-17,26.44,26.99,26.22,26.65,32146
17-Apr-17,26.54,26.70,26.30,26.62,16442
13-Apr-17,26.57,26.75,26.50,26.51,15426
12-Apr-17,26.69,26.84,26.24,26.67,18885
11-Apr-17,26.63,27.09,26.30,26.81,23895
10-Apr-17,26.90,27.46,26.50,26.55,34800
7-Apr-17,26.07,26.92,26.07,26.79,27376
6-Apr-17,25.98,26.16,25.98,26.14,26766
5-Apr-17,26.34,26.53,25.91,26.04,43639
4-Apr-17,26.17,26.29,26.00,26.10,22201
3-Apr-17,26.55,26.72,26.12,26.31,36915
31-Mar-17,26.44,26.94,26.19,26.50,112918
30-Mar-17,26.02,26.56,26.02,26.45,23585
29-Mar-17,25.91,26.30,25.83,26.14,43223
