Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Overview
2017-07-01T00:00:00,13211,03:40:11,1,Entertainment
2017-07-01T00:00:00,6535,01:48:55,1,Software Development
2017-07-01T00:00:00,1716,00:28:36,1,Design & Composition
2017-07-01T00:00:00,1051,00:17:31,1,Social Networking
2017-07-01T00:00:00,748,00:12:28,1,News & Opinion
2017-07-01T00:00:00,740,00:12:20,1,Utilities
2017-07-01T00:00:00,727,00:12:07,1,Communication & Scheduling
2017-07-01T00:00:00,585,00:09:45,1,Reference & Learning
2017-07-01T00:00:00,543,00:09:03,1,Uncategorized
2017-07-01T00:00:00,264,00:04:24,1,Business
2017-07-01T00:00:00,18,00:00:18,1,Shopping
2017-07-02T00:00:00,3780,01:03:00,1,News & Opinion
2017-07-02T00:00:00,3168,00:52:48,1,Software Development
2017-07-02T00:00:00,2373,00:39:33,1,Social Networking
2017-07-02T00:00:00,2227,00:37:07,1,Design & Composition
2017-07-02T00:00:00,1860,00:31:00,1,Utilities
2017-07-02T00:00:00,1717,00:28:37,1,Communication & Scheduling
2017-07-02T00:00:00,1140,00:19:00,1,Uncategorized
2017-07-02T00:00:00,1021,00:17:01,1,Reference & Learning
2017-07-02T00:00:00,1016,00:16:56,1,Business
2017-07-02T00:00:00,729,00:12:09,1,Entertainment
2017-07-02T00:00:00,149,00:02:29,1,Shopping
2017-07-03T00:00:00,10530,02:55:30,1,Entertainment
2017-07-03T00:00:00,1760,00:29:20,1,News & Opinion
2017-07-03T00:00:00,911,00:15:11,1,Design & Composition
2017-07-03T00:00:00,711,00:11:51,1,Reference & Learning
2017-07-03T00:00:00,410,00:06:50,1,Communication & Scheduling
2017-07-03T00:00:00,214,00:03:34,1,Software Development
2017-07-03T00:00:00,206,00:03:26,1,Utilities
2017-07-03T00:00:00,113,00:01:53,1,Social Networking
2017-07-03T00:00:00,103,00:01:43,1,Business
2017-07-03T00:00:00,98,00:01:38,1,Shopping
2017-07-03T00:00:00,60,00:01:00,1,Uncategorized
2017-07-04T00:00:00,12405,03:26:45,1,Software Development
2017-07-04T00:00:00,5548,01:32:28,1,News & Opinion
2017-07-04T00:00:00,4155,01:09:15,1,Utilities
2017-07-04T00:00:00,4018,01:06:58,1,Entertainment
2017-07-04T00:00:00,3169,00:52:49,1,Social Networking
2017-07-04T00:00:00,2840,00:47:20,1,Communication & Scheduling
2017-07-04T00:00:00,1876,00:31:16,1,Business
2017-07-04T00:00:00,1254,00:20:54,1,Uncategorized
2017-07-04T00:00:00,947,00:15:47,1,Design & Composition
2017-07-04T00:00:00,883,00:14:43,1,Reference & Learning
2017-07-04T00:00:00,168,00:02:48,1,Shopping
2017-07-05T00:00:00,7357,02:02:37,1,Software Development
2017-07-05T00:00:00,2869,00:47:49,1,Entertainment
2017-07-05T00:00:00,2332,00:38:52,1,Communication & Scheduling
2017-07-05T00:00:00,1999,00:33:19,1,News & Opinion
2017-07-05T00:00:00,1718,00:28:38,1,Business
2017-07-05T00:00:00,1330,00:22:10,1,Reference & Learning
2017-07-05T00:00:00,1107,00:18:27,1,Social Networking
2017-07-05T00:00:00,1077,00:17:57,1,Utilities
2017-07-05T00:00:00,783,00:13:03,1,Design & Composition
2017-07-05T00:00:00,699,00:11:39,1,Uncategorized
2017-07-05T00:00:00,473,00:07:53,1,Shopping
2017-07-06T00:00:00,13604,03:46:44,1,Software Development
2017-07-06T00:00:00,3618,01:00:18,1,Communication & Scheduling
2017-07-06T00:00:00,3585,00:59:45,1,Entertainment
2017-07-06T00:00:00,3559,00:59:19,1,News & Opinion
2017-07-06T00:00:00,3340,00:55:40,1,Reference & Learning
2017-07-06T00:00:00,2697,00:44:57,1,Utilities
2017-07-06T00:00:00,1338,00:22:18,1,Uncategorized
2017-07-06T00:00:00,1238,00:20:38,1,Business
2017-07-06T00:00:00,800,00:13:20,1,Social Networking
2017-07-06T00:00:00,532,00:08:52,1,Design & Composition
2017-07-06T00:00:00,111,00:01:51,1,Shopping
2017-07-07T00:00:00,11211,03:06:51,1,Software Development
2017-07-07T00:00:00,3262,00:54:22,1,Communication & Scheduling
2017-07-07T00:00:00,2714,00:45:14,1,Entertainment
2017-07-07T00:00:00,1355,00:22:35,1,Social Networking
2017-07-07T00:00:00,1301,00:21:41,1,Utilities
2017-07-07T00:00:00,1237,00:20:37,1,News & Opinion
2017-07-07T00:00:00,1188,00:19:48,1,Design & Composition
2017-07-07T00:00:00,909,00:15:09,1,Uncategorized
2017-07-07T00:00:00,614,00:10:14,1,Business
2017-07-07T00:00:00,378,00:06:18,1,Reference & Learning
2017-07-07T00:00:00,20,00:00:20,1,Shopping
2017-07-09T00:00:00,3525,00:58:45,1,Software Development
2017-07-09T00:00:00,2121,00:35:21,1,News & Opinion
2017-07-09T00:00:00,1068,00:17:48,1,Business
2017-07-09T00:00:00,1057,00:17:37,1,Communication & Scheduling
2017-07-09T00:00:00,905,00:15:05,1,Entertainment
2017-07-09T00:00:00,629,00:10:29,1,Uncategorized
2017-07-09T00:00:00,601,00:10:01,1,Social Networking
2017-07-09T00:00:00,510,00:08:30,1,Utilities
2017-07-09T00:00:00,489,00:08:09,1,Reference & Learning
2017-07-09T00:00:00,318,00:05:18,1,Shopping
2017-07-09T00:00:00,143,00:02:23,1,Design & Composition
2017-07-10T00:00:00,9945,02:45:45,1,Software Development
2017-07-10T00:00:00,4073,01:07:53,1,Entertainment
2017-07-10T00:00:00,3002,00:50:02,1,Communication & Scheduling
2017-07-10T00:00:00,2538,00:42:18,1,News & Opinion
2017-07-10T00:00:00,2375,00:39:35,1,Business
2017-07-10T00:00:00,2231,00:37:11,1,Social Networking
2017-07-10T00:00:00,1374,00:22:54,1,Reference & Learning
2017-07-10T00:00:00,1161,00:19:21,1,Utilities
2017-07-10T00:00:00,1104,00:18:24,1,Uncategorized
2017-07-10T00:00:00,264,00:04:24,1,Shopping
2017-07-10T00:00:00,194,00:03:14,1,Design & Composition
2017-07-11T00:00:00,5357,01:29:17,1,Software Development
2017-07-11T00:00:00,4203,01:10:03,1,Communication & Scheduling
2017-07-11T00:00:00,3929,01:05:29,1,Entertainment
2017-07-11T00:00:00,3127,00:52:07,1,Business
2017-07-11T00:00:00,2754,00:45:54,1,Social Networking
2017-07-11T00:00:00,2002,00:33:22,1,Utilities
2017-07-11T00:00:00,1690,00:28:10,1,News & Opinion
2017-07-11T00:00:00,1612,00:26:52,1,Uncategorized
2017-07-11T00:00:00,1411,00:23:31,1,Design & Composition
2017-07-11T00:00:00,1022,00:17:02,1,Reference & Learning
2017-07-11T00:00:00,368,00:06:08,1,Shopping
2017-07-12T00:00:00,12275,03:24:35,1,Software Development
2017-07-12T00:00:00,4487,01:14:47,1,Communication & Scheduling
2017-07-12T00:00:00,4053,01:07:33,1,Utilities
2017-07-12T00:00:00,2950,00:49:10,1,News & Opinion
2017-07-12T00:00:00,2508,00:41:48,1,Entertainment
2017-07-12T00:00:00,2422,00:40:22,1,Business
2017-07-12T00:00:00,2028,00:33:48,1,Social Networking
2017-07-12T00:00:00,1747,00:29:07,1,Uncategorized
2017-07-12T00:00:00,1580,00:26:20,1,Reference & Learning
2017-07-12T00:00:00,1523,00:25:23,1,Design & Composition
2017-07-12T00:00:00,330,00:05:30,1,Shopping
2017-07-13T00:00:00,8125,02:15:25,1,Software Development
2017-07-13T00:00:00,5662,01:34:22,1,Communication & Scheduling
2017-07-13T00:00:00,2986,00:49:46,1,Entertainment
2017-07-13T00:00:00,2529,00:42:09,1,Business
2017-07-13T00:00:00,1917,00:31:57,1,Utilities
2017-07-13T00:00:00,1869,00:31:09,1,News & Opinion
2017-07-13T00:00:00,1467,00:24:27,1,Reference & Learning
2017-07-13T00:00:00,1209,00:20:09,1,Social Networking
2017-07-13T00:00:00,640,00:10:40,1,Uncategorized
2017-07-13T00:00:00,634,00:10:34,1,Shopping
2017-07-13T00:00:00,93,00:01:33,1,Design & Composition
2017-07-14T00:00:00,8377,02:19:37,1,Software Development
2017-07-14T00:00:00,2777,00:46:17,1,Communication & Scheduling
2017-07-14T00:00:00,2339,00:38:59,1,News & Opinion
2017-07-14T00:00:00,1683,00:28:03,1,Business
2017-07-14T00:00:00,1639,00:27:19,1,Social Networking
2017-07-14T00:00:00,994,00:16:34,1,Utilities
2017-07-14T00:00:00,787,00:13:07,1,Reference & Learning
2017-07-14T00:00:00,658,00:10:58,1,Entertainment
2017-07-14T00:00:00,335,00:05:35,1,Uncategorized
2017-07-14T00:00:00,309,00:05:09,1,Design & Composition
2017-07-14T00:00:00,48,00:00:48,1,Shopping
2017-07-15T00:00:00,51,00:00:51,1,Utilities
2017-07-15T00:00:00,45,00:00:45,1,Communication & Scheduling
2017-07-15T00:00:00,32,00:00:32,1,Business
2017-07-15T00:00:00,25,00:00:25,1,Software Development
2017-07-15T00:00:00,4,00:00:04,1,Social Networking
2017-07-15T00:00:00,4,00:00:04,1,Reference & Learning
2017-07-16T00:00:00,5214,01:26:54,1,News & Opinion
2017-07-16T00:00:00,1285,00:21:25,1,Business
2017-07-16T00:00:00,1180,00:19:40,1,Entertainment
2017-07-16T00:00:00,813,00:13:33,1,Communication & Scheduling
2017-07-16T00:00:00,557,00:09:17,1,Social Networking
2017-07-16T00:00:00,451,00:07:31,1,Software Development
2017-07-16T00:00:00,426,00:07:06,1,Utilities
2017-07-16T00:00:00,376,00:06:16,1,Uncategorized
2017-07-16T00:00:00,291,00:04:51,1,Reference & Learning
2017-07-16T00:00:00,67,00:01:07,1,Shopping
2017-07-16T00:00:00,61,00:01:01,1,Design & Composition
2017-07-17T00:00:00,14299,03:58:19,1,Software Development
2017-07-17T00:00:00,6462,01:47:42,1,Entertainment
2017-07-17T00:00:00,5048,01:24:08,1,Communication & Scheduling
2017-07-17T00:00:00,2746,00:45:46,1,Business
2017-07-17T00:00:00,1990,00:33:10,1,Utilities
2017-07-17T00:00:00,1619,00:26:59,1,Social Networking
2017-07-17T00:00:00,1134,00:18:54,1,Reference & Learning
2017-07-17T00:00:00,1125,00:18:45,1,News & Opinion
2017-07-17T00:00:00,958,00:15:58,1,Uncategorized
2017-07-17T00:00:00,726,00:12:06,1,Design & Composition
2017-07-17T00:00:00,106,00:01:46,1,Shopping
2017-07-18T00:00:00,4207,01:10:07,1,Software Development
2017-07-18T00:00:00,607,00:10:07,1,Business
2017-07-18T00:00:00,592,00:09:52,1,Entertainment
2017-07-18T00:00:00,578,00:09:38,1,Utilities
2017-07-18T00:00:00,403,00:06:43,1,Communication & Scheduling
2017-07-18T00:00:00,142,00:02:22,1,Uncategorized
2017-07-18T00:00:00,140,00:02:20,1,Reference & Learning
2017-07-18T00:00:00,137,00:02:17,1,Social Networking
2017-07-18T00:00:00,72,00:01:12,1,News & Opinion
2017-07-18T00:00:00,18,00:00:18,1,Design & Composition
