Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2017-07-01T00:00:00,15031,04:10:31,1,-2
2017-07-01T00:00:00,8515,02:21:55,1,2
2017-07-01T00:00:00,1886,00:31:26,1,0
2017-07-01T00:00:00,601,00:10:01,1,1
2017-07-01T00:00:00,105,00:01:45,1,-1
2017-07-02T00:00:00,7039,01:57:19,1,-2
2017-07-02T00:00:00,6411,01:46:51,1,2
2017-07-02T00:00:00,2903,00:48:23,1,0
2017-07-02T00:00:00,1965,00:32:45,1,1
2017-07-02T00:00:00,862,00:14:22,1,-1
2017-07-03T00:00:00,12504,03:28:24,1,-2
2017-07-03T00:00:00,1228,00:20:28,1,2
2017-07-03T00:00:00,1031,00:17:11,1,0
2017-07-03T00:00:00,227,00:03:47,1,1
2017-07-03T00:00:00,126,00:02:06,1,-1
2017-07-04T00:00:00,15228,04:13:48,1,2
2017-07-04T00:00:00,13398,03:43:18,1,-2
2017-07-04T00:00:00,4545,01:15:45,1,0
2017-07-04T00:00:00,3728,01:02:08,1,1
2017-07-04T00:00:00,364,00:06:04,1,-1
2017-07-05T00:00:00,9902,02:45:02,1,2
2017-07-05T00:00:00,6541,01:49:01,1,-2
2017-07-05T00:00:00,3472,00:57:52,1,0
2017-07-05T00:00:00,1533,00:25:33,1,1
2017-07-05T00:00:00,296,00:04:56,1,-1
2017-07-06T00:00:00,15374,04:16:14,1,2
2017-07-06T00:00:00,8074,02:14:34,1,-2
2017-07-06T00:00:00,5290,01:28:10,1,0
2017-07-06T00:00:00,4806,01:20:06,1,1
2017-07-06T00:00:00,878,00:14:38,1,-1
2017-07-07T00:00:00,13013,03:36:53,1,2
2017-07-07T00:00:00,5327,01:28:47,1,-2
2017-07-07T00:00:00,4115,01:08:35,1,0
2017-07-07T00:00:00,1155,00:19:15,1,1
2017-07-07T00:00:00,579,00:09:39,1,-1
2017-07-09T00:00:00,4736,01:18:56,1,2
2017-07-09T00:00:00,3956,01:05:56,1,-2
2017-07-09T00:00:00,1744,00:29:04,1,0
2017-07-09T00:00:00,856,00:14:16,1,1
2017-07-09T00:00:00,74,00:01:14,1,-1
2017-07-10T00:00:00,12514,03:28:34,1,2
2017-07-10T00:00:00,9118,02:31:58,1,-2
2017-07-10T00:00:00,4326,01:12:06,1,0
2017-07-10T00:00:00,1550,00:25:50,1,1
2017-07-10T00:00:00,753,00:12:33,1,-1
2017-07-11T00:00:00,9895,02:44:55,1,2
2017-07-11T00:00:00,8742,02:25:42,1,-2
2017-07-11T00:00:00,6187,01:43:07,1,0
2017-07-11T00:00:00,2312,00:38:32,1,1
2017-07-11T00:00:00,339,00:05:39,1,-1
2017-07-12T00:00:00,16220,04:30:20,1,2
2017-07-12T00:00:00,7821,02:10:21,1,-2
2017-07-12T00:00:00,5770,01:36:10,1,0
2017-07-12T00:00:00,4359,01:12:39,1,1
2017-07-12T00:00:00,1733,00:28:53,1,-1
2017-07-13T00:00:00,10747,02:59:07,1,2
2017-07-13T00:00:00,6855,01:54:15,1,-2
2017-07-13T00:00:00,6352,01:45:52,1,0
2017-07-13T00:00:00,2505,00:41:45,1,1
2017-07-13T00:00:00,672,00:11:12,1,-1
2017-07-14T00:00:00,10369,02:52:49,1,2
2017-07-14T00:00:00,4684,01:18:04,1,-2
2017-07-14T00:00:00,2909,00:48:29,1,0
2017-07-14T00:00:00,1335,00:22:15,1,1
2017-07-14T00:00:00,649,00:10:49,1,-1
2017-07-15T00:00:00,57,00:00:57,1,2
2017-07-15T00:00:00,55,00:00:55,1,1
2017-07-15T00:00:00,45,00:00:45,1,-1
2017-07-15T00:00:00,4,00:00:04,1,-2
2017-07-16T00:00:00,7018,01:56:58,1,-2
2017-07-16T00:00:00,1797,00:29:57,1,2
2017-07-16T00:00:00,1125,00:18:45,1,0
2017-07-16T00:00:00,405,00:06:45,1,-1
2017-07-16T00:00:00,376,00:06:16,1,1
2017-07-17T00:00:00,17771,04:56:11,1,2
2017-07-17T00:00:00,9387,02:36:27,1,-2
2017-07-17T00:00:00,4779,01:19:39,1,0
2017-07-17T00:00:00,2241,00:37:21,1,-1
2017-07-17T00:00:00,2035,00:33:55,1,1
2017-07-18T00:00:00,4832,01:20:32,1,2
2017-07-18T00:00:00,801,00:13:21,1,-2
2017-07-18T00:00:00,526,00:08:46,1,1
2017-07-18T00:00:00,451,00:07:31,1,0
2017-07-18T00:00:00,286,00:04:46,1,-1
