Entity,Year,Country code,Total population (Gapminder),Life Expectancy (at birth) World Bank data,Health Expenditure and Financing (per capita)
Afghanistan,1800,AFG,3280000,,
Afghanistan,1820,AFG,3280000,,
Afghanistan,1870,AFG,4207000,,
Afghanistan,1913,AFG,5730000,,
Afghanistan,1950,AFG,8151455,,
Afghanistan,1951,AFG,8276820,,
Afghanistan,1952,AFG,8407148,,
Afghanistan,1953,AFG,8542906,,
Afghanistan,1954,AFG,8684494,,
Afghanistan,1955,AFG,8832253,,
Afghanistan,1956,AFG,8986449,,
Afghanistan,1957,AFG,9147286,,
Afghanistan,1958,AFG,9314915,,
Afghanistan,1959,AFG,9489453,,
Afghanistan,1960,AFG,9671046,31.58004878,
Afghanistan,1961,AFG,9859928,32.09597561,
Afghanistan,1962,AFG,10056480,32.61187805,
Afghanistan,1963,AFG,10261254,33.12731707,
Afghanistan,1964,AFG,10474903,33.6412439,
Afghanistan,1965,AFG,10697983,34.15368293,
Afghanistan,1966,AFG,10927724,34.66312195,
Afghanistan,1967,AFG,11163656,35.17007317,
Afghanistan,1968,AFG,11411022,35.67202439,
Afghanistan,1969,AFG,11676990,36.16997561,
Afghanistan,1970,AFG,11964906,36.65943902,
Afghanistan,1971,AFG,12273101,37.13941463,
Afghanistan,1972,AFG,12593688,37.60887805,
Afghanistan,1973,AFG,12915499,38.06934146,
Afghanistan,1974,AFG,13223928,38.52329268,
Afghanistan,1975,AFG,13505544,38.97026829,
Afghanistan,1976,AFG,13766792,39.41073171,
Afghanistan,1977,AFG,14003408,39.84770732,
Afghanistan,1978,AFG,14179656,40.29068293,
Afghanistan,1979,AFG,14249493,40.74817073,
Afghanistan,1980,AFG,14185729,41.23365854,
Afghanistan,1981,AFG,13984092,41.76063415,
Afghanistan,1982,AFG,13672870,42.33560976,
Afghanistan,1983,AFG,13300056,42.96304878,
Afghanistan,1984,AFG,12931791,43.6444878,
Afghanistan,1985,AFG,12625292,44.37990244,
Afghanistan,1986,AFG,12372113,45.16880488,
Afghanistan,1987,AFG,12183387,45.99721951,
Afghanistan,1988,AFG,12156685,46.85014634,
Afghanistan,1989,AFG,12414686,47.71158537,
Afghanistan,1990,AFG,13032161,48.56704878,
Afghanistan,1991,AFG,14069854,49.40456098,
Afghanistan,1992,AFG,15472076,50.21312195,
Afghanistan,1993,AFG,17053213,50.9852439,
Afghanistan,1994,AFG,18553819,51.70939024,
Afghanistan,1995,AFG,19789880,52.37507317,
Afghanistan,1996,AFG,20684982,52.97278049,
Afghanistan,1997,AFG,21299350,53.5084878,
Afghanistan,1998,AFG,21752257,53.99219512,
Afghanistan,1999,AFG,22227543,54.43287805,
Afghanistan,2000,AFG,22856302,54.84856098,
Afghanistan,2001,AFG,23677385,55.25621951,
Afghanistan,2002,AFG,24639841,55.67187805,
Afghanistan,2003,AFG,25678639,56.10756098,
Afghanistan,2004,AFG,26693486,56.56973171,
Afghanistan,2005,AFG,27614718,57.05843902,
Afghanistan,2006,AFG,28420974,57.57065854,
Afghanistan,2007,AFG,29145841,58.09136585,
Afghanistan,2008,AFG,29839994,58.60709756,
Afghanistan,2009,AFG,30577756,59.11234146,
Afghanistan,2010,AFG,31411743,59.60009756,
Afghanistan,2011,AFG,32358260,60.06536585,
Afghanistan,2012,AFG,33397058,60.50912195,
Afghanistan,2013,AFG,34499915,60.93141463,
Albania,1700,ALB,300000,,
Albania,1800,ALB,410445,,
Albania,1820,ALB,437000,,
Albania,1850,ALB,500000,,
Albania,1870,ALB,603000,,
Albania,1890,ALB,726000,,
Albania,1900,ALB,800000,,
Albania,1910,ALB,874000,,
Albania,1913,ALB,898000,,
Albania,1920,ALB,932000,,
Albania,1921,ALB,937000,,
Albania,1922,ALB,942000,,
Albania,1923,ALB,947000,,
Albania,1924,ALB,952000,,
Albania,1925,ALB,956000,,
Albania,1926,ALB,962000,,
Albania,1927,ALB,967000,,
Albania,1928,ALB,972000,,
Albania,1929,ALB,977000,,
Albania,1930,ALB,982000,,
Albania,1931,ALB,988000,,
Albania,1932,ALB,993000,,
Albania,1933,ALB,998000,,
Albania,1934,ALB,1003000,,
Albania,1935,ALB,1009000,,
Albania,1936,ALB,1014000,,
Albania,1937,ALB,1030000,,
Albania,1938,ALB,1040000,,
Albania,1939,ALB,1070000,,
Albania,1940,ALB,1088000,,
Albania,1941,ALB,1100000,,
Albania,1942,ALB,1117000,,
Albania,1943,ALB,1119000,,
Albania,1944,ALB,1122000,,
Albania,1945,ALB,1138000,,
Albania,1946,ALB,1154000,,
Albania,1947,ALB,1175000,,
Albania,1948,ALB,1192000,,
Albania,1949,ALB,1209000,,
Albania,1950,ALB,1215002,,
Albania,1951,ALB,1239971,,
Albania,1952,ALB,1269302,,
Albania,1953,ALB,1302536,,
Albania,1954,ALB,1339240,,
Albania,1955,ALB,1378998,,
Albania,1956,ALB,1421417,,
Albania,1957,ALB,1466124,,
Albania,1958,ALB,1512765,,
Albania,1959,ALB,1561012,,
Albania,1960,ALB,1610565,62.25436585,
Albania,1961,ALB,1661158,63.27346341,
Albania,1962,ALB,1712563,64.16285366,
Albania,1963,ALB,1764593,64.88709756,
Albania,1964,ALB,1817098,65.43819512,
Albania,1965,ALB,1869942,65.82739024,
Albania,1966,ALB,1922993,66.08931707,
Albania,1967,ALB,1976140,66.28721951,
Albania,1968,ALB,2029314,66.47495122,
Albania,1969,ALB,2082474,66.68160976,
Albania,1970,ALB,2135599,66.93258537,
Albania,1971,ALB,2188650,67.23887805,
Albania,1972,ALB,2241623,67.58595122,
Albania,1973,ALB,2294578,67.95795122,
Albania,1974,ALB,2347607,68.34834146,
Albania,1975,ALB,2400801,68.74121951,
Albania,1976,ALB,2454255,69.1155122,
Albania,1977,ALB,2508026,69.45617073,
Albania,1978,ALB,2562121,69.7542439,
Albania,1979,ALB,2616530,70.00965854,
Albania,1980,ALB,2671300,70.23597561,
Albania,1981,ALB,2725029,70.45446341,
Albania,1982,ALB,2777592,70.68512195,
Albania,1983,ALB,2831682,70.93739024,
Albania,1984,ALB,2891004,71.20653659,
Albania,1985,ALB,2957390,71.47121951,
Albania,1986,ALB,3033393,71.69756098,
Albania,1987,ALB,3116009,71.86195122,
Albania,1988,ALB,3194854,71.95329268,
Albania,1989,ALB,3255859,71.97858537,
Albania,1990,ALB,3289483,71.95731707,
Albania,1991,ALB,3291695,71.91841463,
Albania,1992,ALB,3266983,71.90080488,
Albania,1993,ALB,3224901,71.93585366,
Albania,1994,ALB,3179442,72.04195122,
Albania,1995,ALB,3141102,72.23602439,
Albania,1996,ALB,3112597,72.52741463,
Albania,1997,ALB,3091902,72.89809756,
Albania,1998,ALB,3079037,73.32658537,
Albania,1999,ALB,3072725,73.79339024,
Albania,2000,ALB,3071856,74.27207317,
Albania,2001,ALB,3077378,74.73421951,
Albania,2002,ALB,3089778,75.15795122,
Albania,2003,ALB,3106701,75.52936585,
Albania,2004,ALB,3124861,75.839,
Albania,2005,ALB,3141800,76.08939024,
Albania,2006,ALB,3156607,76.29053659,
Albania,2007,ALB,3169665,76.46485366,
Albania,2008,ALB,3181397,76.63231707,
Albania,2009,ALB,3192723,76.80187805,
Albania,2010,ALB,3204284,76.9785122,
Albania,2011,ALB,3215988,77.16321951,
