Date	Sessions
2017-01-23	25
2017-01-24	34
2017-01-25	25
2017-01-26	20
2017-01-27	20
2017-01-28	15
2017-01-29	8
2017-01-30	13
2017-01-31	8
2017-02-01	50
2017-02-02	12
2017-02-03	20
2017-02-04	7
2017-02-05	7
2017-02-06	20
2017-02-07	70
2017-02-08	67
2017-02-09	21
2017-02-10	32
2017-02-11	9
2017-02-12	14
2017-02-13	41
2017-02-14	14
2017-02-15	11
2017-02-16	16
2017-02-17	19
2017-02-18	3
2017-02-19	9
2017-02-20	21
2017-02-21	20
2017-02-22	14
2017-02-23	16
2017-02-24	19
2017-02-25	10
2017-02-26	12
2017-02-27	18
2017-02-28	15
2017-03-01	21
2017-03-02	48
2017-03-03	15
2017-03-04	11
2017-03-05	13
2017-03-06	29
2017-03-07	10
2017-03-08	16
2017-03-09	13
2017-03-10	15
2017-03-11	9
2017-03-12	9
2017-03-13	18
2017-03-14	15
2017-03-15	18
2017-03-16	18
2017-03-17	15
2017-03-18	13
2017-03-19	17
2017-03-20	24
2017-03-21	36
2017-03-22	22
2017-03-23	13
2017-03-24	15
2017-03-25	7
2017-03-26	11
2017-03-27	16
2017-03-28	23
2017-03-29	22
2017-03-30	17
2017-03-31	27
2017-04-01	9
2017-04-02	12
2017-04-03	20
2017-04-04	19
2017-04-05	18
2017-04-06	8
2017-04-07	12
2017-04-08	10
2017-04-09	10
2017-04-10	20
2017-04-11	18
2017-04-12	15
2017-04-13	5
2017-04-14	10
2017-04-15	8
2017-04-16	5
2017-04-17	17
2017-04-18	18
2017-04-19	15
2017-04-20	6
2017-04-21	14
2017-04-22	10
2017-04-23	8
2017-04-24	18
2017-04-25	15
2017-04-26	14
2017-04-27	12
2017-04-28	7
2017-04-29	11
2017-04-30	9
2017-05-01	8
2017-05-02	16
2017-05-03	14
2017-05-04	22
2017-05-05	6
2017-05-06	14
2017-05-07	10
2017-05-08	25
2017-05-09	12
2017-05-10	25
2017-05-11	16
2017-05-12	15
2017-05-13	10
2017-05-14	5
2017-05-15	23
2017-05-16	38
2017-05-17	25
2017-05-18	17
2017-05-19	26
2017-05-20	19
2017-05-21	22
2017-05-22	16
2017-05-23	31
2017-05-24	31
2017-05-25	25
2017-05-26	17
