Date,Open,High,Low,Close,Volume
15-Jun-17,52.00,52.07,50.28,50.92,81701
14-Jun-17,52.52,53.35,51.95,52.60,62094
13-Jun-17,53.13,53.13,52.03,52.47,66812
12-Jun-17,53.28,53.93,52.30,53.07,136359
9-Jun-17,52.76,54.16,52.63,53.54,54490
8-Jun-17,51.88,53.03,51.88,52.61,54098
7-Jun-17,51.07,52.00,50.21,51.90,41089
6-Jun-17,51.69,51.85,50.66,51.19,68414
5-Jun-17,52.85,52.85,51.56,52.08,61531
2-Jun-17,53.28,54.34,52.66,52.79,50726
1-Jun-17,52.00,53.15,51.68,53.13,70598
31-May-17,52.44,52.73,51.31,51.62,105071
30-May-17,53.56,53.70,52.13,52.44,66583
26-May-17,54.38,54.38,53.07,53.88,59441
25-May-17,54.99,54.99,54.03,54.23,72039
24-May-17,58.01,58.06,54.05,54.86,970068
23-May-17,56.00,58.75,55.78,57.82,287758
22-May-17,55.06,55.74,54.74,55.30,64927
19-May-17,54.22,55.09,54.00,54.76,68108
18-May-17,53.52,55.30,53.51,54.33,76039
17-May-17,53.55,53.81,53.07,53.37,50925
16-May-17,54.40,54.40,53.58,53.92,48942
15-May-17,53.89,55.10,53.89,54.32,47311
12-May-17,56.42,56.42,53.57,54.02,88609
11-May-17,57.49,57.91,56.51,56.73,82539
10-May-17,57.85,58.60,57.47,57.79,58747
9-May-17,57.95,58.65,57.60,58.13,72783
8-May-17,57.73,58.25,57.30,58.20,45556
5-May-17,57.74,58.29,57.28,57.98,58544
4-May-17,57.61,57.90,57.34,57.62,34349
3-May-17,57.73,58.43,57.17,57.73,63812
2-May-17,57.68,58.45,57.68,58.13,60636
1-May-17,58.09,58.68,57.45,57.56,60765
28-Apr-17,58.23,58.95,57.75,57.81,52867
27-Apr-17,58.51,59.05,57.85,58.40,74807
26-Apr-17,57.27,59.39,56.65,58.23,471728
25-Apr-17,61.83,61.83,57.10,57.52,332032
24-Apr-17,62.85,62.88,61.71,62.04,60377
21-Apr-17,61.78,62.53,61.72,62.08,71592
20-Apr-17,61.33,62.40,61.33,61.84,72531
19-Apr-17,61.44,61.61,60.61,61.03,43490
18-Apr-17,60.73,61.67,60.17,61.33,64817
17-Apr-17,60.26,61.09,59.81,60.79,46932
13-Apr-17,60.65,61.22,59.76,60.17,40906
12-Apr-17,61.05,61.06,59.79,60.72,41182
11-Apr-17,61.45,61.53,60.95,61.27,40741
10-Apr-17,60.63,61.95,60.63,61.46,68331
7-Apr-17,59.67,60.90,59.57,60.73,138934
6-Apr-17,59.25,60.01,58.85,59.68,79770
5-Apr-17,59.78,60.25,58.77,59.35,91015
4-Apr-17,58.99,59.27,58.46,59.22,77392
3-Apr-17,59.76,59.76,58.53,58.88,60384
31-Mar-17,60.40,60.65,59.51,59.65,41553
30-Mar-17,61.13,61.13,59.99,60.44,48782
29-Mar-17,58.87,61.35,58.87,61.14,131006
28-Mar-17,58.71,59.20,58.05,58.84,52463
27-Mar-17,58.66,58.92,58.24,58.57,56696
24-Mar-17,59.75,59.93,59.13,59.34,37950
23-Mar-17,59.81,60.58,59.20,59.70,48863
22-Mar-17,60.02,60.21,58.81,59.52,41865
21-Mar-17,60.67,60.69,59.33,60.03,65489
20-Mar-17,61.33,61.33,59.60,60.51,79620
17-Mar-17,60.18,61.31,59.04,61.10,374305
16-Mar-17,58.83,60.70,58.75,60.21,94452
15-Mar-17,58.48,59.47,58.04,59.08,62833
14-Mar-17,58.77,58.77,58.00,58.53,33500
13-Mar-17,58.78,59.69,58.57,58.89,57097
10-Mar-17,56.83,61.13,55.34,58.92,102399
9-Mar-17,58.30,58.30,56.28,56.42,54659
8-Mar-17,58.53,58.76,57.77,58.16,60673
7-Mar-17,58.51,59.46,58.04,58.14,54865
6-Mar-17,59.71,59.71,58.56,58.70,73004
3-Mar-17,60.22,60.22,59.00,60.12,74184
2-Mar-17,59.51,60.31,59.00,60.10,85631
1-Mar-17,60.74,60.74,59.20,59.50,102453
28-Feb-17,63.00,63.00,59.92,60.00,99704
27-Feb-17,64.28,64.77,62.83,63.07,70213
24-Feb-17,63.54,65.68,63.07,64.79,69244
23-Feb-17,65.63,66.14,62.76,64.20,754717
22-Feb-17,62.07,66.25,62.07,65.62,218061
21-Feb-17,61.67,62.36,61.07,61.41,57314
17-Feb-17,61.22,61.95,61.15,61.41,44248
16-Feb-17,62.04,62.49,61.40,61.65,44788
15-Feb-17,59.94,62.10,59.90,62.06,71683
14-Feb-17,59.60,59.96,59.39,59.93,117404
13-Feb-17,61.11,61.11,59.50,59.85,44271
10-Feb-17,60.83,61.58,60.20,60.73,58912
9-Feb-17,59.16,61.75,59.16,60.75,126856
8-Feb-17,58.61,59.97,58.13,59.55,101976
7-Feb-17,58.82,58.97,58.22,58.70,54477
6-Feb-17,60.17,60.17,58.31,58.57,34245
3-Feb-17,59.73,60.80,59.35,60.38,36986
2-Feb-17,59.11,59.44,58.51,59.12,40786
1-Feb-17,59.56,59.86,58.46,58.80,34136
31-Jan-17,58.59,59.71,58.31,59.44,32670
30-Jan-17,59.16,59.37,58.24,58.55,55627
27-Jan-17,60.43,60.43,58.67,59.26,32737
26-Jan-17,60.48,61.47,60.11,60.42,74408
25-Jan-17,59.63,61.43,58.79,60.59,675460
24-Jan-17,62.57,62.75,58.50,59.02,228041
23-Jan-17,63.44,63.89,62.61,62.87,33808
20-Jan-17,64.00,64.42,62.95,63.56,49071
19-Jan-17,64.95,65.70,63.54,64.24,56758
18-Jan-17,66.15,66.15,64.32,65.08,51152
17-Jan-17,66.39,67.73,65.36,65.81,100185
13-Jan-17,64.60,67.21,63.94,66.69,77497
12-Jan-17,65.43,65.84,63.49,64.54,53909
11-Jan-17,65.82,65.82,64.82,65.45,64980
10-Jan-17,64.79,66.09,64.37,65.67,56339
9-Jan-17,65.46,66.14,63.64,64.64,96592
6-Jan-17,66.25,66.25,65.00,65.32,67088
5-Jan-17,67.83,67.83,65.88,66.32,86586
4-Jan-17,67.48,68.88,66.96,67.83,85383
3-Jan-17,66.80,67.91,66.52,66.91,83660
30-Dec-16,66.40,67.04,66.30,66.84,61247
29-Dec-16,67.18,68.40,66.66,66.86,376081
28-Dec-16,61.19,68.39,61.03,67.57,316131
27-Dec-16,60.04,60.81,60.04,60.51,16035
23-Dec-16,60.18,60.65,59.47,60.00,20424
22-Dec-16,61.39,61.39,59.92,60.17,35611
21-Dec-16,61.56,61.96,60.63,61.31,34279
20-Dec-16,61.58,62.00,60.94,61.51,28820
19-Dec-16,60.55,61.51,59.99,61.40,40526
16-Dec-16,60.59,60.83,60.20,60.52,138055
15-Dec-16,59.68,60.81,58.94,60.35,33062
14-Dec-16,59.93,60.30,59.38,59.55,38262
13-Dec-16,59.59,60.58,59.14,59.86,61154
12-Dec-16,59.35,59.99,57.88,59.68,38463
9-Dec-16,59.14,60.10,58.58,59.45,41604
8-Dec-16,57.61,59.24,57.40,59.11,50961
7-Dec-16,57.34,57.67,57.00,57.44,35910
6-Dec-16,57.11,57.62,56.40,57.46,30400
5-Dec-16,56.22,57.17,56.04,57.16,51228
2-Dec-16,55.83,56.19,55.55,55.83,24981
1-Dec-16,55.56,56.92,55.49,55.76,34508
30-Nov-16,57.36,57.36,55.33,55.70,58270
29-Nov-16,57.80,58.71,57.04,57.17,84771
28-Nov-16,57.00,57.82,56.42,57.66,102156
25-Nov-16,56.29,57.99,56.29,57.26,70577
23-Nov-16,59.60,59.96,53.98,56.32,508723
22-Nov-16,60.75,61.68,59.29,60.01,73283
21-Nov-16,61.01,61.77,60.52,60.75,30061
18-Nov-16,61.25,61.97,60.17,61.20,36360
17-Nov-16,62.25,62.29,60.44,60.95,42280
16-Nov-16,63.38,63.38,61.93,62.29,36101
15-Nov-16,62.04,63.45,60.86,63.38,78976
14-Nov-16,61.42,63.24,61.22,62.04,53004
11-Nov-16,59.41,60.92,58.99,60.80,95220
10-Nov-16,57.95,60.25,57.36,59.80,124875
9-Nov-16,55.34,57.78,55.34,57.69,120096
8-Nov-16,55.74,56.25,55.36,56.04,20991
7-Nov-16,55.79,56.28,55.12,55.80,38449
4-Nov-16,55.27,55.60,55.01,55.05,35244
3-Nov-16,56.70,56.85,55.10,55.28,46250
2-Nov-16,55.85,57.19,55.85,56.51,21494
1-Nov-16,55.77,57.28,54.65,55.84,51716
31-Oct-16,55.79,57.06,55.21,55.63,46864
28-Oct-16,55.74,56.99,55.34,55.90,17255
27-Oct-16,54.89,56.13,54.89,55.82,52183
26-Oct-16,56.00,56.33,54.80,54.94,58561
25-Oct-16,56.74,57.08,55.64,56.25,38882
24-Oct-16,56.14,57.44,56.14,57.04,31765
21-Oct-16,55.30,56.36,55.30,55.78,25413
20-Oct-16,55.62,55.74,54.97,55.48,19471
19-Oct-16,54.98,55.52,54.68,55.52,29983
18-Oct-16,54.62,54.99,53.86,54.97,66267
17-Oct-16,54.25,54.84,54.16,54.33,37101
14-Oct-16,54.12,54.30,53.69,54.15,22947
13-Oct-16,54.17,54.62,53.67,53.87,43522
12-Oct-16,53.23,54.57,52.92,54.37,22573
11-Oct-16,52.99,53.18,52.26,53.03,80721
10-Oct-16,52.72,53.46,52.72,52.99,60370
7-Oct-16,52.87,52.87,52.06,52.63,71315
6-Oct-16,52.53,53.20,52.30,52.85,20314
5-Oct-16,52.14,53.35,51.92,52.60,84860
4-Oct-16,52.41,52.92,51.82,52.08,40690
3-Oct-16,52.75,52.75,52.16,52.56,39369
30-Sep-16,52.04,53.18,52.00,53.00,36739
29-Sep-16,52.43,52.53,51.75,51.75,27702
28-Sep-16,52.68,52.70,51.56,52.34,36314
27-Sep-16,53.25,53.33,52.07,52.59,51028
26-Sep-16,53.02,53.61,52.80,53.30,48661
23-Sep-16,53.10,53.19,52.48,53.02,28030
22-Sep-16,52.81,53.35,52.49,53.23,37205
21-Sep-16,52.51,52.65,51.63,52.53,38650
20-Sep-16,52.74,52.97,52.12,52.19,33401
19-Sep-16,53.00,53.56,52.26,52.51,60465
16-Sep-16,53.81,54.02,52.54,52.78,171900
15-Sep-16,52.11,53.83,52.11,53.64,116601
14-Sep-16,52.17,52.53,51.86,52.02,26642
13-Sep-16,52.08,52.56,51.89,51.99,24593
12-Sep-16,51.78,52.52,51.39,52.46,61076
9-Sep-16,52.05,52.44,51.49,51.59,38139
8-Sep-16,52.67,53.02,51.95,52.52,59684
7-Sep-16,54.31,54.31,52.24,52.90,69163
6-Sep-16,52.47,55.49,52.19,54.61,199890
2-Sep-16,51.53,52.44,51.53,52.40,12069
1-Sep-16,51.10,51.24,50.50,51.16,16900
31-Aug-16,50.60,51.31,50.53,50.94,33595
30-Aug-16,51.59,51.78,50.61,50.74,51710
29-Aug-16,51.95,52.32,51.30,51.57,13796
26-Aug-16,52.13,52.54,51.56,51.83,10497
25-Aug-16,51.79,52.13,51.24,52.03,15309
24-Aug-16,51.83,52.06,51.03,51.86,24941
23-Aug-16,51.86,52.34,51.67,51.75,32982
22-Aug-16,50.87,51.88,50.87,51.78,21180
19-Aug-16,50.89,51.24,50.61,50.88,49261
18-Aug-16,50.76,51.08,50.47,51.05,11545
17-Aug-16,51.09,51.09,50.32,50.56,16849
16-Aug-16,51.44,51.65,51.01,51.10,39120
15-Aug-16,51.84,51.84,51.62,51.72,25826
12-Aug-16,51.86,51.86,51.14,51.79,42230
11-Aug-16,51.79,52.66,51.28,51.63,45642
10-Aug-16,51.65,51.85,51.01,51.33,69308
9-Aug-16,51.23,51.75,51.08,51.60,26756
8-Aug-16,51.32,51.46,50.51,50.92,28085
5-Aug-16,50.42,51.58,50.16,51.09,29921
4-Aug-16,50.55,50.86,49.92,50.38,17727
3-Aug-16,50.49,50.73,50.17,50.40,19396
2-Aug-16,51.13,51.94,50.28,50.38,46578
1-Aug-16,51.72,51.87,50.78,51.07,21632
29-Jul-16,50.38,51.70,50.18,51.67,58190
28-Jul-16,51.53,51.53,50.47,50.54,34591
27-Jul-16,52.83,52.98,51.33,51.55,56810
26-Jul-16,52.77,53.01,52.37,52.49,37760
25-Jul-16,52.36,52.76,52.36,52.57,17228
22-Jul-16,52.74,53.89,52.29,52.61,17225
21-Jul-16,52.81,53.01,52.41,52.56,13902
20-Jul-16,52.76,53.53,52.50,52.81,25660
19-Jul-16,52.93,53.46,52.60,52.81,40580
18-Jul-16,53.31,53.31,52.47,52.94,41146
15-Jul-16,53.25,53.78,52.83,52.94,18742
14-Jul-16,53.00,53.73,52.67,52.98,66069
13-Jul-16,52.97,53.01,52.42,52.63,55196
12-Jul-16,52.24,53.15,52.12,52.81,63005
11-Jul-16,52.40,52.55,51.85,52.17,60037
8-Jul-16,51.19,52.98,51.19,52.17,86903
7-Jul-16,51.03,51.08,50.51,50.92,32079
6-Jul-16,50.53,50.85,50.04,50.82,63033
5-Jul-16,50.03,51.10,50.03,50.90,43275
1-Jul-16,50.66,50.66,49.32,50.23,30347
30-Jun-16,49.35,50.55,48.89,50.55,46894
29-Jun-16,49.64,49.65,48.91,49.23,55592
28-Jun-16,49.46,50.39,48.78,49.17,60162
27-Jun-16,48.88,49.57,48.01,49.03,60111
24-Jun-16,48.01,49.62,48.01,49.29,135122
23-Jun-16,49.50,49.94,48.90,49.90,40592
22-Jun-16,49.26,49.75,48.87,48.88,42754
21-Jun-16,49.77,49.77,48.72,49.30,51916
20-Jun-16,49.80,50.21,49.56,49.65,57541
17-Jun-16,49.56,50.32,49.00,49.14,95878
16-Jun-16,49.50,50.21,49.29,49.75,53790
15-Jun-16,49.33,50.31,48.96,49.56,55998
14-Jun-16,49.33,50.31,48.93,49.20,61833
13-Jun-16,52.28,52.28,48.17,49.39,134474
10-Jun-16,51.70,52.76,51.70,52.54,30875
9-Jun-16,52.48,52.98,51.66,52.25,41292
8-Jun-16,51.97,52.75,51.41,52.69,49708
7-Jun-16,51.94,52.21,51.61,52.10,36962
6-Jun-16,51.81,52.58,51.66,51.78,28543
3-Jun-16,52.24,53.59,51.26,51.66,46414
2-Jun-16,51.41,52.30,50.41,52.09,61365
1-Jun-16,50.17,51.59,50.17,51.57,124420
31-May-16,50.42,51.11,50.16,50.17,59921
27-May-16,49.67,50.63,49.34,50.62,69122
26-May-16,49.67,49.90,49.37,49.60,17448
25-May-16,49.44,49.63,49.13,49.33,51567
24-May-16,48.65,49.83,47.71,49.19,59706
23-May-16,48.41,48.60,47.80,48.12,38119
20-May-16,47.57,48.56,47.41,48.36,44009
19-May-16,46.27,47.61,46.27,47.31,41992
18-May-16,46.15,47.16,46.10,46.60,22079
17-May-16,47.54,47.54,46.00,46.40,37709
16-May-16,47.16,47.85,46.71,47.41,20836
13-May-16,46.48,47.44,46.11,46.98,24574
12-May-16,46.40,46.71,46.11,46.67,20487
11-May-16,47.55,47.55,46.02,46.13,22320
10-May-16,47.25,47.79,46.87,47.63,34068
9-May-16,45.98,47.22,45.98,47.11,19879
6-May-16,45.43,46.04,45.25,46.01,30287
5-May-16,45.65,45.75,45.17,45.46,31452
4-May-16,45.51,45.69,45.03,45.43,37241
3-May-16,46.08,46.10,44.51,45.64,38639
2-May-16,45.57,46.54,45.32,46.29,36175
29-Apr-16,46.03,46.18,45.01,45.52,36328
28-Apr-16,45.81,46.88,45.81,46.09,40133
27-Apr-16,46.26,47.07,45.79,46.37,59221
26-Apr-16,46.59,46.98,46.14,46.37,27243
25-Apr-16,45.81,46.35,45.60,46.33,23705
22-Apr-16,45.36,46.00,45.36,45.82,23197
21-Apr-16,46.61,47.00,45.25,45.44,37012
20-Apr-16,46.32,46.83,46.20,46.50,20455
19-Apr-16,46.31,47.45,46.31,46.52,33974
18-Apr-16,46.16,46.60,45.77,46.13,27873
15-Apr-16,45.36,46.27,45.01,46.16,27629
14-Apr-16,45.80,45.87,45.22,45.35,28609
13-Apr-16,44.66,45.98,44.51,45.80,88503
12-Apr-16,43.72,44.85,43.72,44.52,37584
11-Apr-16,44.48,45.05,43.74,43.74,27634
8-Apr-16,44.36,44.87,43.88,44.21,30779
7-Apr-16,44.53,44.92,43.53,43.96,69034
6-Apr-16,44.22,45.32,44.19,44.91,30312
5-Apr-16,44.19,44.93,44.19,44.39,37582
