Date,Open,High,Low,Close,Volume
15-Jun-17,958.70,965.73,950.86,964.17,5373865
14-Jun-17,988.59,990.34,966.71,976.47,3974900
13-Jun-17,977.99,984.50,966.10,980.79,4580011
12-Jun-17,967.00,975.95,945.00,964.91,9447233
9-Jun-17,1012.50,1012.99,927.00,978.31,7647692
8-Jun-17,1012.06,1013.61,1006.11,1010.27,2767857
7-Jun-17,1005.95,1010.25,1002.00,1010.07,2823041
6-Jun-17,1012.00,1016.50,1001.25,1003.00,3346432
5-Jun-17,1007.23,1013.21,1003.51,1011.34,2719859
2-Jun-17,998.99,1008.48,995.67,1006.73,3752328
1-Jun-17,998.59,998.99,991.37,995.95,2454841
31-May-17,1000.00,1000.12,982.16,994.62,3913115
30-May-17,996.51,1001.20,995.52,996.70,3263069
26-May-17,995.00,998.65,989.25,995.78,3469154
25-May-17,984.85,999.00,982.11,993.38,4822032
24-May-17,976.00,981.00,970.23,980.35,2463052
23-May-17,975.02,975.20,966.85,971.54,2415594
22-May-17,964.00,971.38,962.90,970.67,2642217
19-May-17,962.84,968.92,959.72,959.84,3972089
18-May-17,944.80,962.75,944.76,958.49,3939347
17-May-17,954.70,960.40,944.12,944.76,5145578
16-May-17,961.00,970.06,960.91,966.07,3126051
15-May-17,958.73,963.15,956.06,957.97,4270625
12-May-17,954.50,962.79,951.53,961.35,3625857
11-May-17,945.11,950.29,940.78,947.62,2194070
10-May-17,953.50,953.75,945.00,948.95,2096512
9-May-17,952.80,957.89,950.20,952.82,3262113
8-May-17,940.95,949.05,939.21,949.04,3415731
5-May-17,940.52,940.79,930.30,934.15,2866397
4-May-17,944.75,945.00,934.22,937.53,2418381
3-May-17,946.00,946.00,935.90,941.03,3582686
2-May-17,946.64,950.10,941.41,946.94,3848835
1-May-17,927.80,954.40,927.80,948.23,5466544
28-Apr-17,948.83,949.59,924.33,924.99,7364681
27-Apr-17,914.39,921.86,912.11,918.38,5305543
26-Apr-17,910.30,915.75,907.56,909.29,2608948
25-Apr-17,907.04,909.48,903.00,907.62,3380639
24-Apr-17,908.68,909.99,903.82,907.41,3122893
21-Apr-17,902.67,903.65,896.77,898.53,2420494
20-Apr-17,899.70,905.32,896.29,902.06,2814441
19-Apr-17,907.84,910.50,897.37,899.20,2870242
18-Apr-17,900.99,909.61,900.78,903.78,2999238
17-Apr-17,887.50,902.38,887.50,901.99,2854673
13-Apr-17,891.45,894.97,884.49,884.67,3174583
12-Apr-17,903.09,904.09,895.25,896.23,2456140
11-Apr-17,907.04,911.24,897.50,902.36,3012743
10-Apr-17,899.63,908.51,899.00,907.04,3184301
7-Apr-17,899.65,900.09,889.31,894.88,3710922
6-Apr-17,913.80,917.19,894.49,898.28,6344065
5-Apr-17,910.82,923.72,905.62,909.28,7508370
4-Apr-17,891.50,908.54,890.28,906.83,4984656
3-Apr-17,888.00,893.49,885.42,891.51,3422328
31-Mar-17,877.00,890.35,876.65,886.54,3957612
30-Mar-17,874.95,877.06,871.66,876.34,2762730
29-Mar-17,859.05,876.44,859.02,874.32,4485770
28-Mar-17,851.75,858.46,850.10,856.00,3041633
27-Mar-17,838.07,850.30,833.50,846.82,2755775
24-Mar-17,851.68,851.80,843.53,845.61,2138269
23-Mar-17,848.20,850.89,844.80,847.38,1952964
22-Mar-17,840.43,849.37,839.05,848.06,2658669
21-Mar-17,858.84,862.80,841.31,843.20,4382852
20-Mar-17,851.51,857.80,851.01,856.97,2282727
17-Mar-17,853.49,853.83,850.64,852.31,3384403
16-Mar-17,855.30,855.50,850.51,853.42,1842296
15-Mar-17,854.33,854.45,847.11,852.97,2562176
14-Mar-17,853.55,853.75,847.55,852.53,2130586
13-Mar-17,851.77,855.69,851.71,854.59,1909672
