Submission Date,Price,Quantity (grams),Quality,City (Census subdivision),Province,Primary Reason,Usage,Average Monthly Consumption (grams)
26/01/2018,170,28,High,conception bay south,NL,Medicate without a medical document,Daily,28
01/02/2018,85,28,High,portugal cove-st. philip's,NL,Use recreationally,Daily,112
01/02/2018,20,3.5,High,portugal cove-st. philip's,NL,Use recreationally,Daily,0
25/01/2018,15,1,Medium,torbay,NL,Medicate with a medical document,A few times per week,28
02/02/2018,15,1,High,torbay,NL,Use recreationally,A few times per week,28
03/02/2018,11,1,Medium,torbay,NL,Use recreationally,A few times per week,28
03/02/2018,13,1,High,torbay,NL,Use recreationally,Daily,14
03/02/2018,11,1,High,torbay,NL,Use recreationally,A few times per week,14
03/02/2018,10,1,High,torbay,NL,Use recreationally,Daily,14
05/02/2018,180,28,High,torbay,NL,Use recreationally,A few times a year,0.5
30/01/2018,180,28,High,paradise,NL,Use recreationally,A few times per week,28
06/02/2018,10,1,High,st. john's,NL,Medicate with a medical document,Daily,300
06/02/2018,8.5,1,High,st. john's,NL,Medicate with a medical document,Daily,300
30/01/2018,100,28,High,st. john's,NL,Medicate without a medical document,Daily,130
30/01/2018,5,1,High,st. john's,NL,Medicate without a medical document,Daily,112
30/01/2018,180,28,High,st. john's,NL,Medicate without a medical document,Daily,100
01/02/2018,10,1,High,st. john's,NL,Medicate with a medical document,Daily,90
30/01/2018,250,28,High,st. john's,NL,Medicate without a medical document,Daily,60
03/02/2018,100,14,High,st. john's,NL,Use recreationally,Daily,56
01/02/2018,180,28,Medium,st. john's,NL,Use recreationally,Daily,56
02/02/2018,264,56,High,st. john's,NL,Medicate with a medical document,A few times per week,56
30/01/2018,110,14,Medium,st. john's,NL,Use recreationally,Daily,50
31/01/2018,200,28,High,st. john's,NL,Use recreationally,Daily,45
30/01/2018,200,28,Medium,st. john's,NL,Use recreationally,Daily,42
26/01/2018,220,28,Medium,st. john's,NL,Use recreationally,Daily,30
02/02/2018,85,28,High,st. john's,NL,Use recreationally,Daily,30
01/02/2018,80,7,Medium,st. john's,NL,Use recreationally,Daily,28
30/01/2018,120,14,Medium,st. john's,NL,Use recreationally,Daily,28
30/01/2018,30,3.5,High,st. john's,NL,Medicate without a medical document,Daily,28
01/02/2018,60,7,Low,st. john's,NL,Medicate without a medical document,Daily,28
02/02/2018,8,1,High,st. john's,NL,Medicate without a medical document,Daily,28
25/01/2018,200,28,High,st. john's,NL,Medicate without a medical document,Daily,28
30/01/2018,200,28,Medium,st. john's,NL,Use recreationally,Daily,28
30/01/2018,25,3.5,Medium,st. john's,NL,Medicate with a medical document,Daily,28
30/01/2018,100,14,Medium,st. john's,NL,Use recreationally,Daily,28
31/01/2018,200,28,High,st. john's,NL,Medicate without a medical document,Daily,28
31/01/2018,50,7,Medium,st. john's,NL,Medicate without a medical document,Daily,28
31/01/2018,25,3.5,High,st. john's,NL,Medicate without a medical document,Daily,28
01/02/2018,100,14,Medium,st. john's,NL,Use recreationally,Daily,28
31/01/2018,7,1,High,st. john's,NL,Use recreationally,Daily,28
25/01/2018,90,14,High,st. john's,NL,Medicate without a medical document,Daily,28
26/01/2018,180,28,Medium,st. john's,NL,Medicate without a medical document,Daily,28
31/01/2018,90,14,Medium,st. john's,NL,Medicate without a medical document,Daily,28
30/01/2018,175,28,High,st. john's,NL,Use recreationally,A few times per week,28
30/01/2018,155,28,High,st. john's,NL,Use recreationally,A few times per week,28
02/02/2018,2500,500,High,st. john's,NL,Use recreationally,A few times per week,28
01/02/2018,125,28,High,st. john's,NL,Medicate without a medical document,Daily,28
04/02/2018,99,28,Medium,st. john's,NL,Use recreationally,Daily,28
31/01/2018,89,28,Medium,st. john's,NL,Use recreationally,Daily,28
25/01/2018,120,12,Medium,st. john's,NL,Use recreationally,Daily,22
30/01/2018,180,28,Medium,st. john's,NL,Use recreationally,Daily,15
31/01/2018,10,1,Medium,st. john's,NL,Use recreationally,Daily,14
30/01/2018,70,7,Medium,st. john's,NL,Use recreationally,Daily,14
30/01/2018,280,28,High,st. john's,NL,Use recreationally,Daily,14
30/01/2018,10,1,High,st. john's,NL,Use recreationally,Daily,14
31/01/2018,120,14,Medium,st. john's,NL,Medicate without a medical document,Daily,14
31/01/2018,120,14,Medium,st. john's,NL,Medicate without a medical document,Daily,14
01/02/2018,220,28,High,st. john's,NL,Use recreationally,Daily,14
02/02/2018,220,28,High,st. john's,NL,Use recreationally,A few times per week,14
30/01/2018,200,28,High,st. john's,NL,Use recreationally,Daily,14
30/01/2018,200,28,Low,st. john's,NL,Use recreationally,Daily,14
31/01/2018,50,7,Medium,st. john's,NL,Medicate without a medical document,Daily,14
01/02/2018,50,7,High,st. john's,NL,Use recreationally,Daily,14
30/01/2018,100,14,High,st. john's,NL,Use recreationally,A few times per week,14
27/01/2018,60,9,High,st. john's,NL,Medicate without a medical document,Daily,14
31/01/2018,90,14,High,st. john's,NL,Medicate without a medical document,A few times per week,14
25/01/2018,165,28,Medium,st. john's,NL,Medicate without a medical document,Daily,14
30/01/2018,5,1,High,st. john's,NL,Use recreationally,Daily,14
01/02/2018,125,28,Medium,st. john's,NL,Medicate without a medical document,Daily,14
30/01/2018,40,3.5,Medium,st. john's,NL,Medicate without a medical document,Daily,7
26/01/2018,40,3.5,Medium,st. john's,NL,Use recreationally,A few times per week,7
30/01/2018,160,14,High,st. john's,NL,Use recreationally,A few times per week,7
30/01/2018,40,4,Medium,st. john's,NL,Use recreationally,A few times per week,7
30/01/2018,120,14,Medium,st. john's,NL,Use recreationally,Daily,7
30/01/2018,60,7,Medium,st. john's,NL,Use recreationally,A few times per week,7
31/01/2018,160,28,Medium,st. john's,NL,Use recreationally,Daily,7
31/01/2018,150,28,High,st. john's,NL,Use recreationally,A few times per month,7
26/01/2018,60,14,High,st. john's,NL,Use recreationally,A few times per week,7
30/01/2018,12,1,High,st. john's,NL,Use recreationally,A few times per week,3.5
30/01/2018,10,1,High,st. john's,NL,Medicate without a medical document,Daily,3.5
30/01/2018,65,7,High,st. john's,NL,Use recreationally,A few times per month,3.5
27/01/2018,30,3.5,High,st. john's,NL,Use recreationally,A few times per week,3.5
30/01/2018,60,7,High,st. john's,NL,Medicate without a medical document,A few times per week,3.5
30/01/2018,60,7,Low,st. john's,NL,Use recreationally,A few times per week,3.5
31/01/2018,60,7,Medium,st. john's,NL,Use recreationally,A few times per week,3.5
30/01/2018,50,7,Low,st. john's,NL,Use recreationally,Daily,3.5
30/01/2018,200,28,High,st. john's,NL,Use recreationally,A few times per week,3.5
