Date,Time Spent (seconds),Time Spent (HH:MM:SS),Number of People,Productivity
2019-03-01T00:00:00,10539,02:55:39,1,2
2019-03-01T00:00:00,5132,01:25:32,1,0
2019-03-01T00:00:00,2239,00:37:19,1,-2
2019-03-01T00:00:00,1983,00:33:03,1,1
2019-03-01T00:00:00,609,00:10:09,1,-1
2019-03-02T00:00:00,5759,01:35:59,1,2
2019-03-02T00:00:00,3997,01:06:37,1,-2
2019-03-02T00:00:00,967,00:16:07,1,1
2019-03-02T00:00:00,327,00:05:27,1,0
2019-03-02T00:00:00,8,00:00:08,1,-1
2019-03-04T00:00:00,15118,04:11:58,1,2
2019-03-04T00:00:00,4272,01:11:12,1,0
2019-03-04T00:00:00,2717,00:45:17,1,-2
2019-03-04T00:00:00,2080,00:34:40,1,1
2019-03-04T00:00:00,582,00:09:42,1,-1
2019-03-05T00:00:00,15568,04:19:28,1,2
2019-03-05T00:00:00,2369,00:39:29,1,0
2019-03-05T00:00:00,1671,00:27:51,1,1
2019-03-05T00:00:00,667,00:11:07,1,-2
2019-03-05T00:00:00,574,00:09:34,1,-1
2019-03-06T00:00:00,19077,05:17:57,1,2
2019-03-06T00:00:00,1995,00:33:15,1,1
2019-03-06T00:00:00,1843,00:30:43,1,0
2019-03-06T00:00:00,927,00:15:27,1,-2
2019-03-06T00:00:00,396,00:06:36,1,-1
2019-03-07T00:00:00,12319,03:25:19,1,2
2019-03-07T00:00:00,3486,00:58:06,1,0
2019-03-07T00:00:00,3069,00:51:09,1,-2
2019-03-07T00:00:00,1799,00:29:59,1,1
2019-03-07T00:00:00,855,00:14:15,1,-1
2019-03-08T00:00:00,11458,03:10:58,1,2
2019-03-08T00:00:00,8012,02:13:32,1,1
2019-03-08T00:00:00,2933,00:48:53,1,0
2019-03-08T00:00:00,1792,00:29:52,1,-2
2019-03-08T00:00:00,310,00:05:10,1,-1
2019-03-10T00:00:00,1603,00:26:43,1,-2
2019-03-10T00:00:00,297,00:04:57,1,2
2019-03-10T00:00:00,164,00:02:44,1,1
2019-03-10T00:00:00,41,00:00:41,1,0
2019-03-10T00:00:00,22,00:00:22,1,-1
2019-03-11T00:00:00,14004,03:53:24,1,2
2019-03-11T00:00:00,4427,01:13:47,1,0
2019-03-11T00:00:00,1945,00:32:25,1,-2
2019-03-11T00:00:00,1337,00:22:17,1,-1
2019-03-11T00:00:00,1210,00:20:10,1,1
2019-03-12T00:00:00,7139,01:58:59,1,2
2019-03-12T00:00:00,2897,00:48:17,1,0
2019-03-12T00:00:00,544,00:09:04,1,-1
2019-03-12T00:00:00,494,00:08:14,1,1
2019-03-12T00:00:00,128,00:02:08,1,-2
2019-03-13T00:00:00,20084,05:34:44,1,2
2019-03-13T00:00:00,3424,00:57:04,1,0
2019-03-13T00:00:00,2272,00:37:52,1,-1
2019-03-13T00:00:00,2082,00:34:42,1,1
2019-03-13T00:00:00,447,00:07:27,1,-2
2019-03-14T00:00:00,15275,04:14:35,1,2
2019-03-14T00:00:00,5604,01:33:24,1,0
2019-03-14T00:00:00,1424,00:23:44,1,-1
2019-03-14T00:00:00,1075,00:17:55,1,-2
2019-03-14T00:00:00,834,00:13:54,1,1
2019-03-15T00:00:00,13571,03:46:11,1,2
2019-03-15T00:00:00,3056,00:50:56,1,0
2019-03-15T00:00:00,2888,00:48:08,1,1
2019-03-15T00:00:00,1019,00:16:59,1,-1
2019-03-15T00:00:00,298,00:04:58,1,-2
2019-03-16T00:00:00,1159,00:19:19,1,2
2019-03-16T00:00:00,557,00:09:17,1,1
2019-03-16T00:00:00,524,00:08:44,1,-2
2019-03-16T00:00:00,104,00:01:44,1,0
2019-03-17T00:00:00,5688,01:34:48,1,2
2019-03-17T00:00:00,2433,00:40:33,1,-2
2019-03-17T00:00:00,757,00:12:37,1,0
2019-03-17T00:00:00,476,00:07:56,1,1
2019-03-17T00:00:00,89,00:01:29,1,-1
2019-03-18T00:00:00,21020,05:50:20,1,2
2019-03-18T00:00:00,5501,01:31:41,1,0
2019-03-18T00:00:00,2353,00:39:13,1,1
2019-03-18T00:00:00,1301,00:21:41,1,-2
2019-03-18T00:00:00,1193,00:19:53,1,-1
2019-03-19T00:00:00,15715,04:21:55,1,2
2019-03-19T00:00:00,2036,00:33:56,1,-2
2019-03-19T00:00:00,1899,00:31:39,1,0
2019-03-19T00:00:00,893,00:14:53,1,-1
2019-03-19T00:00:00,810,00:13:30,1,1
2019-03-20T00:00:00,18176,05:02:56,1,2
2019-03-20T00:00:00,3288,00:54:48,1,0
2019-03-20T00:00:00,1263,00:21:03,1,-1
2019-03-20T00:00:00,1236,00:20:36,1,1
2019-03-20T00:00:00,1168,00:19:28,1,-2
2019-03-21T00:00:00,21904,06:05:04,1,2
2019-03-21T00:00:00,3108,00:51:48,1,-2
2019-03-21T00:00:00,2343,00:39:03,1,1
2019-03-21T00:00:00,1866,00:31:06,1,0
2019-03-21T00:00:00,1108,00:18:28,1,-1
2019-03-22T00:00:00,10321,02:52:01,1,2
2019-03-22T00:00:00,4174,01:09:34,1,0
2019-03-22T00:00:00,1521,00:25:21,1,-1
2019-03-22T00:00:00,1468,00:24:28,1,-2
2019-03-22T00:00:00,590,00:09:50,1,1
2019-03-23T00:00:00,3200,00:53:20,1,2
2019-03-23T00:00:00,2955,00:49:15,1,-2
2019-03-23T00:00:00,474,00:07:54,1,0
2019-03-23T00:00:00,411,00:06:51,1,1
2019-03-23T00:00:00,32,00:00:32,1,-1
2019-03-24T00:00:00,3395,00:56:35,1,2
2019-03-24T00:00:00,2921,00:48:41,1,-2
2019-03-24T00:00:00,392,00:06:32,1,1
2019-03-24T00:00:00,349,00:05:49,1,0
2019-03-24T00:00:00,50,00:00:50,1,-1
2019-03-25T00:00:00,15449,04:17:29,1,2
2019-03-25T00:00:00,4002,01:06:42,1,0
2019-03-25T00:00:00,960,00:16:00,1,-2
2019-03-25T00:00:00,929,00:15:29,1,1
2019-03-25T00:00:00,870,00:14:30,1,-1
2019-03-26T00:00:00,19122,05:18:42,1,2
2019-03-26T00:00:00,1378,00:22:58,1,0
2019-03-26T00:00:00,468,00:07:48,1,1
2019-03-26T00:00:00,407,00:06:47,1,-2
2019-03-26T00:00:00,362,00:06:02,1,-1
2019-03-27T00:00:00,17974,04:59:34,1,2
2019-03-27T00:00:00,5569,01:32:49,1,0
2019-03-27T00:00:00,2199,00:36:39,1,1
2019-03-27T00:00:00,1033,00:17:13,1,-1
2019-03-27T00:00:00,293,00:04:53,1,-2
2019-03-28T00:00:00,11617,03:13:37,1,2
2019-03-28T00:00:00,2991,00:49:51,1,0
2019-03-28T00:00:00,2448,00:40:48,1,-2
2019-03-28T00:00:00,2252,00:37:32,1,-1
2019-03-28T00:00:00,1113,00:18:33,1,1
2019-03-29T00:00:00,10389,02:53:09,1,2
2019-03-29T00:00:00,5516,01:31:56,1,-2
2019-03-29T00:00:00,3861,01:04:21,1,0
2019-03-29T00:00:00,1197,00:19:57,1,1
2019-03-29T00:00:00,800,00:13:20,1,-1
2019-03-30T00:00:00,7200,02:00:00,1,2
2019-03-30T00:00:00,1699,00:28:19,1,0
2019-03-30T00:00:00,753,00:12:33,1,1
2019-03-30T00:00:00,171,00:02:51,1,-2
2019-03-30T00:00:00,51,00:00:51,1,-1
